2015-12-07 21:10:15.1337|WARN|thread: 1|StandardUserErrors|Showing user error Failed to create a new commit.
GitHub.IO.ProcessException: fatal: pathspec 'Assets/2D Sky FREE.meta' did not match any files
2015-12-07 21:10:03.6576|INFO|thread:31|AsyncReaderWriterLock|Released concurrent scheduler for operation: 1034 at GitClient.cs:500 after blocking 3E-07s
2015-12-07 21:10:03.6576|INFO|thread:31|AsyncReaderWriterLock|Acquired concurrent scheduler for operation: 1035 at GitClient.cs:500 after waiting 0.0671185s
2015-12-07 21:10:03.6576|INFO|thread:31|AsyncReaderWriterLock|Released concurrent scheduler for operation: 1035 at GitClient.cs:500 after blocking 6E-07s
2015-12-07 21:10:03.6576|INFO|thread:31|AsyncReaderWriterLock|Acquired concurrent scheduler for operation: 1036 at GitClient.cs:500 after waiting 0.0502122s
2015-12-07 21:10:03.6576|INFO|thread:31|AsyncReaderWriterLock|Released concurrent scheduler for operation: 1036 at GitClient.cs:500 after blocking 3E-07s
2015-12-07 21:10:03.6576|INFO|thread:31|AsyncReaderWriterLock|Acquired concurrent scheduler for operation: 1037 at GitClient.cs:500 after waiting 0.0501266s
2015-12-07 21:10:03.6576|INFO|thread:31|AsyncReaderWriterLock|Released concurrent scheduler for operation: 1037 at GitClient.cs:500 after blocking 3E-07s
2015-12-07 21:10:03.6576|INFO|thread:31|AsyncReaderWriterLock|Acquired concurrent scheduler for operation: 1038 at GitClient.cs:500 after waiting 0.0500312s
2015-12-07 21:10:03.6576|INFO|thread:30|AsyncReaderWriterLock|Acquiring concurrent scheduler for operation 1062 at GitClient.cs:500
2015-12-07 21:10:03.6576|INFO|thread:30|AsyncReaderWriterLock|Acquiring concurrent scheduler for operation 1063 at GitClient.cs:500
2015-12-07 21:10:03.6576|INFO|thread:31|AsyncReaderWriterLock|Released concurrent scheduler for operation: 1038 at GitClient.cs:500 after blocking 0.0053015s
2015-12-07 21:10:03.6576|INFO|thread:31|AsyncReaderWriterLock|Acquired concurrent scheduler for operation: 1039 at GitClient.cs:500 after waiting 0.0552354s
2015-12-07 21:10:03.6576|INFO|thread: 4|AsyncReaderWriterLock|Acquiring concurrent scheduler for operation 1064 at GitClient.cs:500
2015-12-07 21:10:03.6716|INFO|thread:30|AsyncReaderWriterLock|Acquiring concurrent scheduler for operation 1065 at GitClient.cs:500
2015-12-07 21:10:03.6716|INFO|thread: 4|AsyncReaderWriterLock|Acquiring concurrent scheduler for operation 1066 at GitClient.cs:500
2015-12-07 21:10:03.6716|INFO|thread:30|AsyncReaderWriterLock|Released concurrent scheduler for operation: 1039 at GitClient.cs:500 after blocking 0.0023672s
2015-12-07 21:10:03.6716|INFO|thread: 4|AsyncReaderWriterLock|Acquiring concurrent scheduler for operation 1067 at GitClient.cs:500
2015-12-07 21:10:03.6716|INFO|thread:30|AsyncReaderWriterLock|Acquiring concurrent scheduler for operation 1068 at GitClient.cs:500
2015-12-07 21:10:03.6716|INFO|thread: 4|AsyncReaderWriterLock|Acquiring concurrent scheduler for operation 1069 at GitClient.cs:500
2015-12-07 21:10:03.6716|INFO|thread: 4|AsyncReaderWriterLock|Acquiring concurrent scheduler for operation 1070 at GitClient.cs:500
2015-12-07 21:10:03.6716|INFO|thread: 4|AsyncReaderWriterLock|Acquiring concurrent scheduler for operation 1071 at GitClient.cs:500
2015-12-07 21:10:03.6716|INFO|thread: 4|AsyncReaderWriterLock|Acquiring concurrent scheduler for operation 1072 at GitClient.cs:500
2015-12-07 21:10:03.6716|INFO|thread:37|AsyncReaderWriterLock|Acquired concurrent scheduler for operation: 1040 at GitClient.cs:500 after waiting 0.0318581s
2015-12-07 21:10:03.6716|INFO|thread:37|AsyncReaderWriterLock|Released concurrent scheduler for operation: 1040 at GitClient.cs:500 after blocking 1.2E-06s
2015-12-07 21:10:03.6716|INFO|thread:37|AsyncReaderWriterLock|Acquired concurrent scheduler for operation: 1041 at GitClient.cs:500 after waiting 0.031778s
2015-12-07 21:10:03.6716|INFO|thread:37|AsyncReaderWriterLock|Released concurrent scheduler for operation: 1041 at GitClient.cs:500 after blocking 3E-07s
2015-12-07 21:10:03.6716|INFO|thread:37|AsyncReaderWriterLock|Acquired concurrent scheduler for operation: 1042 at GitClient.cs:500 after waiting 0.0316734s
2015-12-07 21:10:03.6716|INFO|thread:37|AsyncReaderWriterLock|Released concurrent scheduler for operation: 1042 at GitClient.cs:500 after blocking 0s
2015-12-07 21:10:03.6716|INFO|thread:37|AsyncReaderWriterLock|Acquired concurrent scheduler for operation: 1043 at GitClient.cs:500 after waiting 0.0315581s
2015-12-07 21:10:03.6716|INFO|thread:37|AsyncReaderWriterLock|Released concurrent scheduler for operation: 1043 at GitClient.cs:500 after blocking 6E-07s
2015-12-07 21:10:03.6716|INFO|thread:37|AsyncReaderWriterLock|Acquired concurrent scheduler for operation: 1044 at GitClient.cs:500 after waiting 0.0314834s
2015-12-07 21:10:03.6716|INFO|thread:37|AsyncReaderWriterLock|Released concurrent scheduler for operation: 1044 at GitClient.cs:500 after blocking 3E-07s
2015-12-07 21:10:03.6716|INFO|thread:37|AsyncReaderWriterLock|Acquired concurrent scheduler for operation: 1045 at GitClient.cs:500 after waiting 0.0314108s
2015-12-07 21:10:03.6716|INFO|thread:25|AsyncReaderWriterLock|Acquired concurrent scheduler for operation: 1046 at GitClient.cs:500 after waiting 0.0316759s
2015-12-07 21:10:03.6716|INFO|thread:31|AsyncReaderWriterLock|Acquired concurrent scheduler for operation: 1047 at GitClient.cs:500 after waiting 0.0336898s
2015-12-07 21:10:03.6716|INFO|thread:37|AsyncReaderWriterLock|Released concurrent scheduler for operation: 1045 at GitClient.cs:500 after blocking 0.0051795s
2015-12-07 21:10:03.6716|INFO|thread:37|AsyncReaderWriterLock|Acquired concurrent scheduler for operation: 1048 at GitClient.cs:500 after waiting 0.0363633s
2015-12-07 21:10:03.6716|INFO|thread:25|AsyncReaderWriterLock|Released concurrent scheduler for operation: 1046 at GitClient.cs:500 after blocking 0.0051217s
2015-12-07 21:10:03.6716|INFO|thread:25|AsyncReaderWriterLock|Acquired concurrent scheduler for operation: 1049 at GitClient.cs:500 after waiting 0.0364967s
